stage,count
rfdiffusion_backbones,1000
mpnn_sequences,8000
rf2_scored,8000
pae_pass,200
passed_filter,77
pae_pass_fraction,0.025
in_silico_pass_fraction,0.0096
backbone_pass,58
backbone_pass_fraction,0.058
