stage,count
rfdiffusion_backbones,1000
mpnn_sequences,8000
rf2_scored,8000
pae_pass,490
passed_filter,448
pae_pass_fraction,0.0612
in_silico_pass_fraction,0.056
backbone_pass,146
backbone_pass_fraction,0.146
