package,n_services,n_versions,conflicting_pairs,versions
openmmforcefields,1,1,0,0+untagged.21.gc97d4b5.dirty:1
openpyxl,1,1,0,3.1.5:1
opt_einsum_fx,6,1,0,0.1.4:6
optax,1,1,0,0.2.5:1
orbax-checkpoint,1,1,0,0.11.5:1
ordered-set,1,1,0,4.1.0:1
overrides,2,1,0,7.7.0:2
padelpy,2,1,0,0.1.16:2
pandas-flavor,2,1,0,0.8.1:2
panedr,1,1,0,0.8.0:1
parallelbar,1,1,0,2.5:1
paramiko,1,1,0,5.0.0:1
partd,2,1,0,1.4.2:2
pathspec,1,1,0,1.1.1:1
pathtools,2,1,0,0.1.2:2
patsy,2,1,0,1.0.2:2
pdb2sql,1,1,0,0.5.3:1
pdb4amber,2,1,0,22.0:2
pephubclient,1,1,0,0.4.4:1
peppy,1,1,0,0.40.8:1
pexpect,4,1,0,4.9.0:4
phx-class-registry,1,1,0,5.2.2:1
pickleshare,1,1,0,0.7.5:1
ply,3,1,0,3.11:3
pmapper,1,1,0,1.1.3:1
polars,1,1,0,1.42.1:1
polars-runtime-32,1,1,0,1.42.1:1
pooch,2,1,0,1.9.0:2
posthog,1,1,0,7.22.4:1
pptree,1,1,0,3.1:1
pre-commit,1,1,0,3.7.1:1
prettytable,1,1,0,3.18.0:1
promera,1,1,0,0.1.0:1
promise,1,1,0,2.3:1
ptyprocess,4,1,0,0.7.0:4
pumas,1,1,0,1.3.0:1
pure_eval,4,1,0,0.2.3:4
py-cpuinfo,5,1,0,9.0.0:5
py4j,1,1,0,0.10.9.9:1
pyMSMT,2,1,0,22.0:2
pyOpenSSL,1,1,0,26.3.0:1
pyasn1_modules,2,1,0,0.4.2:2
pycparser,33,1,0,3.0:33
pycryptodome,32,1,0,3.23.0:32
pydantic-settings,34,1,0,2.14.2:34
pydssp,2,1,0,0.9.1:2
pyedr,4,1,0,0.8.0:4
pygtrie,1,1,0,2.5.0:1
pylibcugraphops-cu12,1,1,0,24.12.0:1
pymbar,1,1,0,4.0.1:1
pynndescent,1,1,0,0.5.13:1
pynvml,1,1,0,11.0.0:1
pyrosetta,1,1,0,2026.28+release.188eabbe2c:1
pysftp,1,1,0,0.2.9:1
pystow,2,1,0,0.8.21:2
pytest-benchmark,1,1,0,5.2.3:1
pytest-cov,1,1,0,4.1.0:1
pytest-dotenv,1,1,0,0.5.2:1
pytest-mock,1,1,0,3.15.1:1
python-constraint,2,1,0,1.4.0:2
python-dateutil,24,1,0,2.9.0.post0:24
python-discovery,1,1,0,1.4.4:1
python-dotenv,34,1,0,1.2.2:34
python-irodsclient,1,1,0,3.1.1:1
python-louvain,1,1,0,0.16:1
python-multipart,34,1,0,0.0.32:34
pytimer,1,1,0,0.0.0:1
pytng,2,1,0,0.0.0:2
pytokens,1,1,0,0.4.1:1
pytraj,2,1,0,2.0.6:2
pyu2f,1,1,0,0.1.5:1
pyzmq,2,1,0,27.1.0:2
referencing,32,1,0,0.37.0:32
reinvent,1,1,0,4.8.24:1
requests-oauthlib,1,1,0,2.0.0:1
reretry,1,1,0,0.11.8:1
rfantibody,1,1,0,1.0.0:1
rfc3339_validator,2,1,0,0.1.4:2
rfc3986-validator,2,1,0,0.1.1:2
rfc3987-syntax,1,1,0,1.1.0:1
rfdiffusion,1,1,0,1.1.0:1
rich,8,1,0,15.0.0:8
rlPyCairo,5,1,0,0.4.0:5
rsa,1,1,0,4.9.1:1
ruff,1,1,0,0.6.2:1
rustworkx,1,1,0,0.18.0:1
s3fs,1,1,0,2026.6.0:1
safetensors,3,1,0,0.8.0:3
sander,2,1,0,22.0:2
scikit-image,1,1,0,0.20.0:1
scikit-learn-extra,1,1,0,0.3.0:1
se3-transformer,1,1,0,1.0.0:1
seaborn,5,1,0,0.13.2:5
selfies,1,1,0,2.2.0:1
setuptools-scm,1,1,0,10.2.0:1
shapely,1,1,0,2.1.2:1
shellingham,4,1,0,1.5.4:4
shortuuid,1,1,0,1.0.13:1
simplejson,1,1,0,4.1.1:1
six,25,1,0,1.17.0:25
slacker,1,1,0,0.14.0:1
smart_open,1,1,0,8.0.0:1
smirnoff99frosst,1,1,0,0+untagged.18.g84a07d8.dirty:1
snakemake,1,1,0,7.32.2:1
sniffio,1,1,0,1.3.1:1
sortedcontainers,1,1,0,2.4.0:1
soupsieve,2,1,0,2.8.4:2
splito,1,1,0,0.1.4:1
stack_data,4,1,0,0.6.3:4
starlette,34,1,0,1.3.1:34
statsmodels,2,1,0,0.14.6:2
stone,1,1,0,3.3.2:1
stopit,1,1,0,1.1.2:1
subprocess32,1,1,0,3.5.4:1
tabpfn,1,1,0,8.0.8:1
tabpfn-common-utils,1,1,0,0.2.23:1
tabpfn-extensions,1,1,0,0.4.2:1
tabulate,4,1,0,0.10.0:4
tblib,1,1,0,3.2.2:1
tenacity,3,1,0,9.1.4:3
tensorboardX,1,1,0,2.6.2.2:1
tensorflow-cpu,1,1,0,2.16.1:1
tensorstore,1,1,0,0.1.74:1
termcolor,3,1,0,3.3.0:3
terminado,2,1,0,0.18.1:2
throttler,1,1,0,1.2.2:1
tidynamics,2,1,0,1.1.2:2
tifffile,1,1,0,2023.8.12:1
tinydb,1,1,0,4.8.2:1
tinyprot,1,1,0,0.1.0:1
toff,1,1,0,0.2.0:1
tokenizers,2,1,0,0.22.2:2
toml,3,1,0,0.10.2:3
tomli_w,1,1,0,1.2.0:1
toolz,4,1,0,1.1.0:4
toposort,1,1,0,1.10:1
torch-ema,1,1,0,0.3:1
torch-utils,1,1,0,0.1.2:1
torchdata,1,1,0,0.9.0:1
torchtyping,1,1,0,0.1.5:1
torchviz,1,1,0,0.0.3:1
tornado,5,1,0,6.5.7:5
tos,1,1,0,2.8.1:1
typeguard,1,1,0,2.13.3:1
types-requests,1,1,0,2.33.0.20260518:1
typing-inspection,34,1,0,0.4.2:34
typing_utils,1,1,0,0.1.0:1
ubiquerg,1,1,0,0.9.3:1
umap-learn,1,1,0,0.5.12:1
uncertainty-toolbox,1,1,0,0.1.1:1
unicodedata2,10,1,0,17.0.1:10
uri-template,1,1,0,1.3.0:1
uritemplate,1,1,0,4.2.0:1
uvloop,34,1,0,0.22.1:34
validators,1,1,0,0.35.0:1
vcs-versioning,1,1,0,2.2.2:1
virtualenv,1,1,0,21.6.1:1
watchfiles,34,1,0,1.2.0:34
webcolors,1,1,0,25.10.0:1
webencodings,2,1,0,0.5.1:2
xarray,2,1,0,2026.7.0:2
xgboost,1,1,0,3.3.0:1
xxhash,1,1,0,3.8.1:1
xyzservices,1,1,0,2026.3.0:1
yte,1,1,0,1.9.4:1
zarr,1,1,0,3.2.1:1
zict,1,1,0,3.0.0:1
zipp,7,1,0,4.1.0:7
zstd,1,1,0,1.5.7.3:1
