package,n_services,n_versions,conflicting_pairs,versions
idna,34,2,33,3.18:33|3.10:1
pydantic,34,2,33,2.13.4:33|2.11.10:1
pydantic_core,34,2,33,2.46.4:33|2.33.2:1
kiwisolver,17,3,31,1.5.0:15|1.4.8:1|1.4.9:1
attrs,32,2,31,26.1.0:31|25.1.0:1
jsonschema,32,2,31,4.26.0:31|4.25.1:1
sse-starlette,32,2,31,3.4.5:31|3.4.6:1
psutil,17,2,30,7.2.2:15|7.0.0:2
tzdata,10,3,27,2026.3:6|2026.2:3|2025.1:1
torch-sparse,8,6,25,0.6.17:3|0.6.16+pt113cu117:1|0.6.18+pt27cu126:1|0.6.18+pt27cu128:1|0.6.18+pt23cu121:1|0.6.18+pt24cu124:1
absl-py,10,4,24,2.5.0:7|1.0.0:1|2.1.0:1|2.4.0:1
MarkupSafe,25,2,24,3.0.3:24|2.1.5:1
Jinja2,24,2,23,3.1.6:23|3.1.4:1
lightning,8,5,22,2.6.5:4|2.5.1.post0:1|2.5.0.post0:1|2.4.0:1|2.2.5:1
grpcio,8,4,21,1.82.1:4|1.62.2:2|1.81.1:1|1.72.1:1
wandb,7,6,20,0.28.0:2|0.18.7:1|0.25.1:1|0.19.8:1|0.12.0:1|0.13.10:1
GitPython,8,3,19,3.1.51:4|3.1.50:3|3.1.44:1
platformdirs,11,3,19,4.10.0:9|4.3.6:1|4.9.4:1
wheel,20,2,19,0.47.0:19|0.45.1:1
ml-collections,7,4,17,1.1.0:3|0.1.1:2|0.1.0:1|1.0.0:1
exceptiongroup,18,2,17,1.3.1:17|1.2.2:1
fonttools,17,2,16,4.63.0:16|4.56.0:1
torch-spline-conv,6,6,15,1.2.2:1|1.2.1+pt113cu117:1|1.2.2+pt27cu126:1|1.2.2+pt27cu128:1|1.2.2+pt23cu121:1|1.2.2+pt24cu124:1
sentry-sdk,7,4,15,2.65.0:4|2.63.0:1|2.22.0:1|2.64.0:1
torch-geometric,7,3,15,2.2.0:3|2.6.1:3|2.3.0:1
joblib,16,2,15,1.5.3:15|1.4.2:1
pytz,16,2,15,2026.2:15|2025.1:1
hydra-core,7,3,14,1.3.2:4|1.3.3:2|1.3.1:1
pycairo,7,3,14,1.27.0:4|1.29.0:2|1.25.0:1
lightning-utilities,15,2,14,0.15.3:14|0.14.0:1
omegaconf,9,2,14,2.3.1:7|2.3.0:2
threadpoolctl,15,2,14,3.6.0:14|3.5.0:1
OpenMM,6,4,13,8.1.1:2|8.5.2:2|8.2.0:1|8.0.0:1
tensorboard,6,4,13,2.20.0:2|2.21.0:2|2.16.2:1|2.19.0:1
torchvision,6,4,13,0.14.1:2|0.18.1+cu121:2|0.17.0:1|0.27.0+cu126:1
Cython,6,4,12,3.2.8:3|3.2.5:1|3.2.6:1|3.0.0:1
e3nn,6,4,12,0.5.1:3|0.5.6:1|0.6.0:1|0.3.3:1
dm-tree,6,3,11,0.1.10:3|0.1.8:2|0.1.6:1
aiohttp,12,2,11,3.14.1:11|3.11.13:1
aiosignal,12,2,11,1.4.0:11|1.3.2:1
frozenlist,12,2,11,1.8.0:11|1.5.0:1
multidict,12,2,11,6.7.1:11|6.1.0:1
propcache,12,2,11,0.5.2:11|0.3.0:1
yarl,12,2,11,1.24.2:11|1.18.3:1
Pygments,11,2,10,2.20.0:10|2.19.1:1
opt_einsum,11,2,10,3.4.0:10|3.3.0:1
reportlab,7,2,10,5.0.0:5|3.5.68:2
biotite,5,4,9,1.7.1:2|1.0.1:1|1.2.0:1|1.6.0:1
mdtraj,5,4,9,1.10.0:2|1.10.1:1|1.10.3:1|1.11.1:1
pytest,5,4,9,9.1.1:2|8.4.2:1|8.3.5:1|8.2.0:1
decorator,6,3,9,5.3.1:4|5.2.1:1|5.1.0:1
nvidia-cufile-cu12,6,3,9,1.11.1.6:4|1.13.0.11:1|1.13.1.3:1
Brotli,10,2,9,1.2.0:9|1.0.9:1
msgpack,10,2,9,1.2.1:9|1.1.0:1
nvidia-cusparselt-cu12,6,2,8,0.6.3:4|0.7.1:2
tensorboard-data-server,6,2,8,0.7.2:4|0.7.0:2
executing,5,3,7,2.2.1:3|2.2.0:1|2.0.0:1
h5py,5,3,7,3.16.0:3|3.8.0:1|3.12.1:1
huggingface_hub,5,3,7,1.23.0:3|1.21.0:1|0.36.2:1
wcwidth,5,3,7,0.8.2:3|0.8.1:1|0.2.13:1
gmpy2,8,2,7,2.3.0:7|2.2.2:1
smmap,8,2,7,5.0.3:7|5.0.2:1
dgl,4,4,6,2.0.0+cu121:1|2.4.0+cu121:1|1.1.3+cu118:1|2.4.0+cu124:1
ipython,4,4,6,8.37.0:1|9.15.0:1|8.34.0:1|8.27.0:1
narwhals,5,2,6,2.22.1:3|2.24.0:2
wrapt,7,2,6,2.2.2:6|1.17.2:1
cuda-bindings,4,3,5,13.3.1:2|13.2.0:1|12.9.7:1
cuda-pathfinder,4,3,5,1.5.5:2|1.5.4:1|1.5.6:1
llvmlite,4,3,5,0.44.0:2|0.47.0:1|0.48.0:1
matplotlib-inline,4,3,5,0.2.2:2|0.1.7:1|0.2.1:1
numba,4,3,5,0.61.0:2|0.65.1:1|0.66.0:1
py3Dmol,4,3,5,2.5.5:2|2.4.2:1|2.2.1:1
traitlets,4,3,5,5.15.1:2|5.14.3:1|5.15.0:1
typer,4,3,5,0.26.8:2|0.25.1:1|0.12.5:1
Markdown,6,2,5,3.10.2:5|3.8:1
Werkzeug,6,2,5,3.1.8:5|3.1.3:1
asttokens,5,2,4,3.0.1:4|3.0.0:1
iniconfig,5,2,4,2.3.0:4|2.0.0:1
nvidia-ml-py,5,2,4,13.610.43:4|12.570.86:1
pdbfixer,4,2,4,1.12.0:2|1.9.0:2
pluggy,5,2,4,1.6.0:4|1.5.0:1
zstandard,5,2,4,0.23.0:4|0.25.0:1
MDAnalysis,3,3,3,2.5.0:1|2.10.0:1|2.7.0:1
ParmEd,3,3,3,4.1.0:1|4.2.2:1|4.3.1:1
PyQt5-sip,3,3,3,12.12.2:1|12.11.1:1|12.13.0:1
boto3,3,3,3,1.43.40:1|1.43.36:1|1.43.47:1
botocore,3,3,3,1.43.40:1|1.43.36:1|1.43.47:1
icecream,3,3,3,2.1.4:1|2.2.0:1|2.1.3:1
lmdb,3,3,3,1.4.0:1|1.6.2:1|2.2.1:1
plotly,3,3,3,5.9.0:1|6.9.0:1|5.16.1:1
pyarrow,3,3,3,25.0.0:1|24.0.0:1|17.0.0:1
pybind11,3,3,3,2.11.1:1|3.0.3:1|3.0.1:1
cloudpickle,4,2,3,3.1.2:3|3.1.1:1
comm,4,2,3,0.2.3:3|0.2.2:1
cuda-toolkit,4,2,3,13.0.2:3|12.6.3:1
jedi,4,2,3,0.20.0:3|0.19.2:1
jupyterlab_widgets,4,2,3,3.0.16:3|3.0.13:1
optree,4,2,3,0.19.1:3|0.14.1:1
parso,4,2,3,0.8.7:3|0.8.4:1
prompt_toolkit,4,2,3,3.0.52:3|3.0.50:1
tomli,4,2,3,2.4.1:3|2.2.1:1
widgetsnbextension,4,2,3,4.0.15:3|4.0.13:1
GridDataFormats,3,2,2,1.0.2:2|1.2.0:1
ProDy,3,2,2,2.6.1:2|2.2.0:1
PyQt5,3,2,2,5.15.9:2|5.15.10:1
cftime,3,2,2,1.6.5:2|1.6.4.post1:1
cuequivariance,3,2,2,0.10.0:2|0.8.0:1
cuequivariance-ops-cu12,3,2,2,0.10.0:2|0.8.0:1
cuequivariance-ops-torch-cu12,3,2,2,0.10.0:2|0.8.0:1
cuequivariance-torch,3,2,2,0.10.0:2|0.8.0:1
cytoolz,3,2,2,1.1.0:2|0.12.3:1
gemmi,3,2,2,0.6.5:2|0.7.5:1
gsd,3,2,2,4.0.0:2|5.0.1:1
netCDF4,3,2,2,1.7.2:2|1.7.4:1
numexpr,3,2,2,2.14.1:2|2.10.0:1
pyrsistent,3,2,2,0.19.3:2|0.20.0:1
s3transfer,3,2,2,0.19.0:2|0.19.1:1
setproctitle,3,2,2,1.3.7:2|1.3.5:1
sip,3,2,2,6.7.12:2|6.15.1:1
tables,3,2,2,3.10.1:2|3.11.1:1
torchaudio,3,2,2,2.3.1+cu121:2|2.2.0:1
websocket-client,3,2,2,1.9.0:2|1.8.0:1
DLLogger,2,2,1,1.1.0:1|1.0.0:1
Deprecated,2,2,1,1.3.1:1|1.2.18:1
Pint,2,2,1,0.23:1|0.25.3:1
PySide6,2,2,1,6.10.1:1|6.11.1:1
Send2Trash,2,2,1,2.1.0:1|1.8.3:1
babel,2,2,1,2.18.0:1|2.17.0:1
blessed,2,2,1,1.20.0:1|1.45.0:1
dask,2,2,1,2026.7.0:1|2026.7.1:1
debugpy,2,2,1,1.8.21:1|1.8.5:1
descriptastorus,2,2,1,2.7.0:1|2.8.0:1
easydict,2,2,1,1.9:1|1.13:1
einx,2,2,1,0.3.0:1|0.4.3:1
fastparquet,2,2,1,2026.5.0:1|2024.5.0:1
google-auth,2,2,1,2.55.1:1|2.56.0:1
google-cloud-storage,2,2,1,3.12.0:1|3.13.0:1
google-resumable-media,2,2,1,2.8.0:1|2.10.0:1
grpcio-status,2,2,1,1.81.1:1|1.82.0:1
ihm,2,2,1,2.11:1|2.2:1
ipdb,2,2,1,0.13.13:1|0.13.11:1
ipywidgets,2,2,1,8.1.8:1|8.1.5:1
jax,2,2,1,0.4.26:1|0.4.18:1
jaxlib,2,2,1,0.4.26+cuda12.cudnn89:1|0.4.18:1
json5,2,2,1,0.15.0:1|0.12.1:1
jupyter-lsp,2,2,1,2.3.1:1|2.3.0:1
lxml,2,2,1,5.3.0:1|4.9.2:1
mashumaro,2,2,1,3.14:1|3.22:1
mistune,2,2,1,3.3.2:1|3.3.3:1
ml-dtypes,2,2,1,0.3.2:1|0.5.4:1
modelcif,2,2,1,1.2:1|0.7:1
ninja,2,2,1,1.13.0:1|1.11.1.3:1
nvidia-nvshmem-cu12,2,2,1,3.3.20:1|3.4.5:1
openff-amber-ff-ports,2,2,1,0+untagged.32.g809f411.dirty:1|2025.9.0:1
openff-interchange,2,2,1,0.3.10:1|0.5.2:1
openff-toolkit,2,2,1,0.14.2:1|0.18.0:1
openff-units,2,2,1,0.2.2:1|0.3.2:1
openff-utilities,2,2,1,0.0.0:1|0.1.16:1
openforcefields,2,2,1,2024.9.0:1|2026.1.0:1
packmol-memgen,2,2,1,1.2.3rc0:1|2025.1.29:1
pandocfilters,2,2,1,1.5.0:1|1.5.1:1
pdbeccdutils,2,2,1,1.0.3:1|0.8.5:1
prometheus_client,2,2,1,0.25.0:1|0.24.1:1
proto-plus,2,2,1,1.28.0:1|1.28.1:1
pyasn1,2,2,1,0.6.3:1|0.6.4:1
pybind11-global,2,2,1,3.0.3:1|3.0.1:1
pyg-lib,2,2,1,0.4.0+pt23cu121:1|0.4.0+pt24cu124:1
pymol,2,2,1,2.5.0:1|3.1.0:1
python-json-logger,2,2,1,4.1.0:1|4.0.0:1
regex,2,2,1,2026.7.10:1|2026.5.9:1
shiboken6,2,2,1,6.10.1:1|6.11.1:1
submitit,2,2,1,1.5.3:1|1.5.4:1
tinycss2,2,2,1,1.4.0:1|1.5.1:1
tmtools,2,2,1,0.2.0:1|0.3.0:1
transformers,2,2,1,5.13.1:1|4.57.6:1
useful_rdkit_utils,2,2,1,0.3.12:1|1.0:1
xmltodict,2,2,1,1.0.4:1|1.0.2:1
ANARCI,2,1,0,2026.2.13.2:2
AmberLite,1,1,0,22.0:1
AmberUtils,2,1,0,21.0:2
ConfigArgParse,3,1,0,1.7.5:3
GPUtil,2,1,0,1.4.0:2
ImmuneBuilder,1,1,0,1.2:1
MDRestraintsGenerator,1,1,0,0.2.1:1
MMPBSA.py,2,1,0,16.0:2
MolVS,1,1,0,0.1.1:1
PeptideBuilder,1,1,0,1.1.0:1
Pmw,1,1,0,2.0.1:1
PuLP,1,1,0,2.7.0:1
PyJWT,33,1,0,2.13.0:33
PyNaCl,1,1,0,1.6.2:1
PyOpenGL,1,1,0,3.1.6:1
PyQt6,1,1,0,6.11.0:1
PyQt6_sip,1,1,0,13.11.1:1
PySocks,10,1,0,1.7.1:10
PyWavelets,1,1,0,1.8.0:1
RestrictedPython,1,1,0,8.4:1
SQLAlchemy,7,1,0,2.0.51:7
accelerate,1,1,0,1.14.0:1
addict,1,1,0,2.4.0:1
aimsim,1,1,0,2.2.3:1
aimsim_core,1,1,0,2.2.3:1
aiobotocore,1,1,0,3.7.0:1
aioeasywebdav,1,1,0,2.4.0:1
aioitertools,1,1,0,0.13.0:1
alchemlyb,1,1,0,2.0.0:1
alibabacloud-oss-v2,32,1,0,1.3.2:32
amply,1,1,0,0.1.7:1
antlr4-python3-runtime,9,1,0,4.9.3:9
appdirs,3,1,0,1.4.4:3
apted,1,1,0,1.0.3:1
argon2-cffi,2,1,0,25.1.0:2
argon2-cffi-bindings,2,1,0,25.1.0:2
argparse_dataclass,1,1,0,2.0.0:1
arrow,1,1,0,1.4.0:1
ase,1,1,0,3.29.0:1
assertpy,1,1,0,1.1:1
astartes,2,1,0,1.3.3:2
astunparse,3,1,0,1.6.3:3
async-lru,2,1,0,2.3.0:2
async-timeout,6,1,0,5.0.1:6
backoff,1,1,0,2.2.1:1
backports.zstd,6,1,0,1.6.0:6
bcrypt,1,1,0,5.0.0:1
beautifulsoup4,2,1,0,4.15.0:2
bindflow,1,1,0,1+unknown:1
bioagent-service-framework,33,1,0,0.1.0:33
biopandas,2,1,0,0.4.1:2
bioq-service-framework,1,1,0,0.1.0:1
biotraj,5,1,0,1.2.2:5
black,1,1,0,26.5.1:1
bleach,2,1,0,6.4.0:2
bokeh,1,1,0,3.9.1:1
boltz,1,1,0,2.2.1:1
boltzgen,1,1,0,0.3.2:1
brotlicffi,1,1,0,1.2.0.0:1
bson,2,1,0,0.5.10:2
cached-property,5,1,0,1.5.2:5
cachetools,2,1,0,7.1.4:2
catboost,1,1,0,1.2.10:1
cfgv,1,1,0,3.5.0:1
chembl-structure-pipeline,1,1,0,1.2.2:1
chemprop,2,1,0,2.2.4:2
chex,1,1,0,0.1.90:1
click-option-group,1,1,0,0.5.6:1
cloudpathlib,1,1,0,0.24.0:1
cmake,1,1,0,3.25.0:1
colorama,10,1,0,0.4.6:10
coloredlogs,1,1,0,15.0.1:1
colorlog,1,1,0,6.10.1:1
compact-json,1,1,0,1.8.2:1
configparser,1,1,0,7.2.0:1
connection-pool,1,1,0,0.0.3:1
