repo	relpath	line	matched_patterns	text
ColabFold	README.md	200	gpu_memory	For frequent searches or to achieve minimal latency, you can run a dedicated GPU server. This server holds databases permanently in GPU memory, largely eliminating search overhead:
ColabFold	README.md	211	gpu_memory,cuda	Important: Ensure that the `CUDA_VISIBLE_DEVICES` environment variable is set consistently for both `gpuserver` and `colabfold_search`, otherwise `colabfold_search` will try wait for the `gpuserver` to appear until a set timeout (by default 5 minutes). If your database exceeds GPU memory capacity, the GPU server efficiently streams data between host and GPU memory using asynchronous CUDA streams.
ColabFold	README.md	225	gpu_requirement	For more details, see [GPU-accelerated search](https://github.com/soedinglab/MMseqs2/wiki#gpu-accelerated-search).
DiffDock	README.md	94	nvidia,cuda	docker run --rm --gpus all nvidia/cuda:11.7.1-devel-ubuntu22.04 nvidia-smi
DiffDock	requirements.txt	6	nvidia	dllogger@git+https://github.com/NVIDIA/dllogger.git
DiffDock-PP	README.md	26	nvidia,cuda	conda install pytorch=1.13.0 pytorch-cuda=11.6 -c pytorch -c nvidia
DiffDock-PP	README.md	33	nvidia	Note that the code was tested on Ubuntu 22.04 using NVIDIA RTX A6000 GPUs.
DrugHIVE	README.md	28	cuda	| CUDA              | 11.6      |
DrugHIVE	README.md	39	nvidia	conda create -n drughive -c conda-forge -c pytorch -c nvidia -c rdkit --file requirements.txt
DrugHIVE	requirements.txt	8	cuda	pytorch-cuda=11.7
FlowMol	readme.md	46	cuda	model = flowmol.load_pretrained().cuda().eval() # load model
LASErMPNN	README.md	29	cuda	#### CUDA 11 Instructions
LASErMPNN	README.md	31	cuda	To install the training environment on a system running CUDA 11 (check your cuda version by running `nvcc --version`), run the following set of commands using a [MiniForge](https://github.com/conda-forge/miniforge/releases/tag/24.11.3-2) installation (recommended) or an existing conda installation with a libmamba solver (see above).
LASErMPNN	README.md	37	cuda	#### CUDA 12 Instructions
LASErMPNN	README.md	39	cuda	To install the training environment on a system running CUDA 12 (check your cuda version by running `nvcc --version`), run the following set of commands using a [MiniForge](https://github.com/conda-forge/miniforge/releases/tag/24.11.3-2) installation (recommended) or an existing conda installation with a libmamba solver (see above).
LASErMPNN	README.md	41	cuda	This was tested on a system with CUDA 12.4, you might need to update the specfic CUDA version at the top of the `conda_env_12p4.yml` file if you have a different CUDA 12.x version.
LASErMPNN	README.md	94	cuda	"Pytorch style device string. Ex: ""cuda:0"" or ""cpu""."
LASErMPNN	README.md	137	gpu_memory	Number of designs to generate per batch. If designs_per_input > designs_per_batch, chunks up the inference calls in batches of this size. Default is 30, can increase/decrease depending on available GPU memory.
LASErMPNN	README.md	152	cuda	"PyTorch style device string (e.g. ""cuda:0"")."
LigandMPNN	README.md	383	datacenter_gpu	"#""./inputs/4GYT.pdb"": ""A7 A8 A9 A10 A11 A12 A13 B38"""
LigandMPNN	README.md	397	datacenter_gpu	"#""./inputs/4GYT.pdb"": ""A7 A8 A9 A10 A12 A13 B38"""
LigandMPNN	requirements.txt	9	nvidia	nvidia-cublas-cu12==12.1.3.1
LigandMPNN	requirements.txt	10	nvidia,cuda	nvidia-cuda-cupti-cu12==12.1.105
LigandMPNN	requirements.txt	11	nvidia,cuda	nvidia-cuda-nvrtc-cu12==12.1.105
LigandMPNN	requirements.txt	12	nvidia,cuda	nvidia-cuda-runtime-cu12==12.1.105
LigandMPNN	requirements.txt	13	nvidia	nvidia-cudnn-cu12==8.9.2.26
LigandMPNN	requirements.txt	14	nvidia	nvidia-cufft-cu12==11.0.2.54
LigandMPNN	requirements.txt	15	nvidia	nvidia-curand-cu12==10.3.2.106
LigandMPNN	requirements.txt	16	nvidia	nvidia-cusolver-cu12==11.4.5.107
LigandMPNN	requirements.txt	17	nvidia	nvidia-cusparse-cu12==12.1.0.106
LigandMPNN	requirements.txt	18	nvidia	nvidia-nccl-cu12==2.19.3
LigandMPNN	requirements.txt	19	nvidia	nvidia-nvjitlink-cu12==12.4.99
LigandMPNN	requirements.txt	20	nvidia	nvidia-nvtx-cu12==12.1.105
MMseqs2	README.md	14	gpu_requirement	[Kallenborn F, Chacon A, Hundt C, Sirelkhatim H, Didi K, Cha S, Dallago C, Mirdita M, Schmidt B, Steinegger M: GPU-accelerated homology search with MMseqs2. Nature Methods, doi: 10.1038/s41592-025-02819-8 (2025)](https://www.nature.com/articles/s41592-025-02819-8)
MMseqs2	README.md	34	nvidia	# MMseqs2-GPU mostly-static AVX2 build requiring glibc >= 2.29 and nvidia driver >=525.60.13 (see below)
MMseqs2	README.md	45	cuda,gpu_requirement	MMseqs2 requires an AMD or Intel 64-bit system (check with `uname -a | grep x86_64`). We recommend using a system with at least the SSE4.1 instruction set (check by executing `cat /proc/cpuinfo | grep sse4_1` on Linux or `sysctl -a | grep machdep.cpu.features | grep SSE4.1` on MacOS). The AVX2 version is faster than SSE4.1, check if AVX2 is supported by executing `cat /proc/cpuinfo | grep avx2` on Linux and `sysctl -a | grep machdep.cpu.leaf7_features | grep AVX2` on MacOS. A SSE2 version is also available for very old systems. MMseqs2 also works on ARM64 systems and on PPC64LE systems with POWER8 ISA or newer. MMseqs2-GPU requires the support of CUDA-enabled GPUs of the Turing generation or newer.
MMseqs2	README.md	48	nvidia,gpu_requirement	> We recently added support for GPU-accelerated protein sequence and profile searches. This requires an NVIDIA GPU of the Ampere generation or newer for full speed, however, also works at reduced speed for Turing-generation GPUs. The bioconda- and precompiled binaries will not work on older GPU generations (e.g. Volta or Pascal).
MMseqs2	README.md	49	gpu_requirement	> Check the [wiki](https://github.com/soedinglab/MMseqs2/wiki#compile-from-source-for-linux-with-gpu-support) for instructions on how to get started.
MMseqs2	README.md	76	disk	Please adjust the [clustering criteria](https://github.com/soedinglab/MMseqs2/wiki#clustering-criteria) and check if temporary directory provides enough free space. For disk space requirements, see the user guide.
MMseqs2	README.md	91	gpu_requirement	To perform searches using GPU acceleration, you can add the `--gpu` flag to `easy-search` (see [GPU-accelerated search](https://github.com/soedinglab/MMseqs2/wiki#gpu-accelerated-search)). For frequently searched databases, you can precompute a GPU-compatible database using makepaddedseqdb, which can also be used for CPU-based searches. By default, MMseqs2 uses all visible GPUs; you can adjust this behavior using the `CUDA_VISIBLE_DEVICES` environment variable.
MMseqs2	README.md	134	memory_footprint	### Memory requirements
MMseqs2	README.md	135	memory_footprint	MMseqs2 minimum memory requirements for `cluster` or `linclust` is 1 byte per sequence residue, `search` needs 1 byte per target residue. Sequence databases can be compressed using the `--compress` flag, DNA sequences can be reduced by a factor of `~3.5` and proteins by `~1.7`.
MMseqs2	README.md	137	memory_footprint	MMseqs2 checks the available system memory and automatically divides the target database in parts that fit into memory. Splitting the database will increase the runtime slightly. It is possible to control the memory usage using `--split-memory-limit`.
ODesign	README.md	50	cuda	**Step 2 — Prepare the Environment (cuda 12.1)**
ODesign	README.md	312	disk	Before training ODesign, please download the `odesign_full_data.tar.gz` from [Google Drive](https://drive.google.com/drive/folders/1wPmwIrC3G52q1JFY0RXY95tjKDl7YEln?usp=drive_link), and unzip the file using the following command. About 850 GB of disk space is required to keep the unzipped files.
ODesign	requirements.txt	120	nvidia	nvidia-cublas-cu12==12.1.3.1
ODesign	requirements.txt	121	nvidia,cuda	nvidia-cuda-cupti-cu12==12.1.105
ODesign	requirements.txt	122	nvidia,cuda	nvidia-cuda-nvrtc-cu12==12.1.105
ODesign	requirements.txt	123	nvidia,cuda	nvidia-cuda-runtime-cu12==12.1.105
ODesign	requirements.txt	124	nvidia	nvidia-cudnn-cu12==8.9.2.26
ODesign	requirements.txt	125	nvidia	nvidia-cufft-cu12==11.0.2.54
ODesign	requirements.txt	126	nvidia	nvidia-curand-cu12==10.3.2.106
ODesign	requirements.txt	127	nvidia	nvidia-cusolver-cu12==11.4.5.107
