stage,count
rfdiffusion_backbones,1000
mpnn_sequences,8000
rf2_scored,8000
pae_pass,845
passed_filter,781
pae_pass_fraction,0.1056
in_silico_pass_fraction,0.0976
backbone_pass,342
backbone_pass_fraction,0.342
