package,n_services,n_versions,conflicting_pairs,versions
fonts-conda-ecosystem,4,2,3,1=0:3|1:1
gemmi,4,2,3,0.6.5:3|>=0.6.5:1
libbrotlicommon,4,2,3,1.1.0=hd590300_1:3|1.0.9:1
libbrotlidec,4,2,3,1.1.0=hd590300_1:3|1.0.9:1
libbrotlienc,4,2,3,1.1.0=hd590300_1:3|1.0.9:1
libiconv,4,2,3,1.17=hd590300_2:3|1.18:1
libxcrypt,4,2,3,4.4.36=hd590300_1:3|4.4.36:1
munkres,4,2,3,1.1.4=pyh9f0ad1d_0:3|1.1.4:1
pixman,4,2,3,0.43.2=h59595ed_0:3|0.46.2:1
pthread-stubs,4,2,3,0.4=h36c2ea0_1001:3|0.3:1
xorg-libice,4,2,3,1.1.1=hd590300_0:3|1.1.2:1
xorg-libsm,4,2,3,1.2.4=h7391055_0:3|1.2.6:1
xorg-libxau,4,2,3,1.0.11=hd590300_0:3|1.0.12:1
xorg-libxdmcp,4,2,3,1.1.3=h7f98852_0:3|1.1.5:1
xorg-libxext,4,2,3,1.3.4=h0b41bf4_2:3|1.3.6:1
xorg-libxrender,4,2,3,0.9.11=hd590300_0:3|0.9.12:1
biopandas,3,2,2,0.4.1:2|0.5.1=pyhd8ed1ab_0:1
blas,3,2,2,2.116=mkl:2|1.0:1
cuequivariance_ops_torch_cu12,3,2,2,>=0.5.0:2|0.8.0:1
cuequivariance_torch,3,2,2,>=0.5.0:2|0.8.0:1
easydict,3,2,2,1.13:2|1.9:1
ihm,3,2,2,2.2:2|1.3:1
ipdb,3,2,2,0.13.13:2|0.13.11:1
jpeg,3,2,2,9e=h166bdaf_2:2|9e:1
lame,3,2,2,3.100=h166bdaf_1003:2|3.100:1
libopenblas,3,2,2,0.3.27=pthreads_h413a1c8_0:2|0.3.20=pthreads_h78a6416_0:1
mkl,3,2,2,2022.1.0=h84fe81f_915:2|2023.1.0:1
mpc,3,2,2,1.3.1=hfe3b2da_0:2|1.1.0:1
ninja,3,2,2,1.11.1.3:2|1.11.1.1:1
numba,3,2,2,0.61.0:2|*:1
nvidia-nccl-cu12,3,2,2,2.20.5:2|2.19.3:1
nvidia-nvjitlink-cu12,3,2,2,12.1.105:2|12.4.99:1
openjpeg,3,2,2,2.5.0=h7d73246_0:2|2.5.2=h488ebb8_0:1
pydantic-core,3,2,2,2.27.2:2|2.20.1:1
python-tzdata,3,2,2,2024.1=pyhd8ed1ab_0:2|2023.4=pyhd8ed1ab_0:1
pytorch-mutex,3,2,2,1.0=cuda:2|1.0:1
safetensors,3,2,2,0.4.3:2|0.7.0:1
toml,3,2,2,0.10.2:2|>=0.10.2:1
unicodedata2,3,2,2,15.1.0=py310h2372a71_0:2|15.1.0=py38h01eb140_0:1
wrapt,3,2,2,1.17.2:2|1.16.0:1
yaml,3,2,2,0.2.5=h7f98852_2:2|0.2.5:1
accelerate,2,2,1,*:1|0.30.0:1
aiohappyeyeballs,2,2,1,2.6.1:1|2.5.0:1
anyio,2,2,1,4.4.0:1|4.11.0:1
argon2-cffi,2,2,1,23.1.0:1|25.1.0:1
argon2-cffi-bindings,2,2,1,21.2.0:1|25.1.0:1
arrow,2,2,1,1.3.0:1|1.4.0:1
async-lru,2,2,1,2.0.4:1|2.0.5:1
beautifulsoup4,2,2,1,4.12.3:1|4.14.2:1
bleach,2,2,1,6.1.0:1|6.2.0:1
c-ares,2,2,1,1.32.3=h4bc722e_0:1|1.34.5:1
cloudpathlib,2,2,1,*:1|0.18.1:1
cloudpickle,2,2,1,3.1.1:1|3.0.0:1
colorlog,2,2,1,6.10.1:1|*:1
einx,2,2,1,0.3.0:1|*:1
fastjsonschema,2,2,1,2.20.0:1|2.21.2:1
gettext-tools,2,2,1,0.22.5=h59595ed_2:1|0.24.1:1
glib,2,2,1,2.69.1:1|2.84.0:1
gpustat,2,2,1,1.1.1:1|>=1.1.1:1
graphite2,2,2,1,1.3.13=h59595ed_1003:1|1.3.14:1
greenlet,2,2,1,3.0.3=py38h17151c0_0:1|3.0.3=py310hc6cd4ac_0:1
gst-plugins-base,2,2,1,1.14.1:1|1.24.7:1
gstreamer,2,2,1,1.14.1:1|1.24.7:1
h11,2,2,1,0.14.0:1|0.16.0:1
h2,2,2,1,4.1.0=pyhd8ed1ab_0:1|4.3.0:1
harfbuzz,2,2,1,8.5.0=hfac3d4d_0:1|11.0.0:1
hdf5,2,2,1,1.10.6:1|1.14.6:1
hpack,2,2,1,4.0.0=pyh9f0ad1d_0:1|4.1.0:1
httpcore,2,2,1,1.0.5:1|1.0.9:1
hyperframe,2,2,1,6.0.1=pyhd8ed1ab_0:1|6.1.0:1
imageio,2,2,1,2.34.2:1|2.34.0:1
json5,2,2,1,0.9.25:1|0.12.1:1
jsonschema,2,2,1,4.23.0:1|4.25.1:1
jsonschema-specifications,2,2,1,2023.12.1:1|2025.9.1:1
jupyter-events,2,2,1,0.10.0:1|0.12.0:1
jupyter-lsp,2,2,1,2.2.5:1|2.3.0:1
jupyter-server,2,2,1,2.14.2:1|2.17.0:1
libasprintf,2,2,1,0.22.5=h661eb56_2:1|0.24.1:1
libasprintf-devel,2,2,1,0.22.5=h661eb56_2:1|0.24.1:1
libcurl,2,2,1,8.8.0=hca28451_1:1|8.14.1:1
libdrm,2,2,1,2.4.122=h4ab18f5_0:1|2.4.124:1
libev,2,2,1,4.33=hd590300_2:1|4.33:1
libgcc,2,2,1,14.1.0=h77fa898_1:1|15.1.0:1
libgettextpo,2,2,1,0.22.5=h59595ed_2:1|0.24.1:1
libgettextpo-devel,2,2,1,0.22.5=h59595ed_2:1|0.24.1:1
libgfortran,2,2,1,14.1.0=h69a702a_1:1|15.1.0:1
libhwloc,2,2,1,2.9.3=default_h554bfaf_1009:1|2.11.1=default_hecaa2ac_1000:1
libnghttp2,2,2,1,1.58.0=h47da74e_1:1|1.64.0:1
libopus,2,2,1,1.3.1=h7f98852_1:1|1.3.1:1
libpciaccess,2,2,1,0.18=hd590300_0:1|0.18:1
libpq,2,2,1,12.15:1|17.5:1
libsodium,2,2,1,1.0.18=h36c2ea0_1:1|1.0.20=h4ab18f5_0:1
libssh2,2,2,1,1.11.0=h0841786_0:1|1.11.1:1
libstdcxx,2,2,1,14.1.0=hc0a3c3a_1:1|15.1.0:1
libxkbcommon,2,2,1,1.0.1:1|1.9.1:1
lmdb,2,2,1,>=1.7.5:1|1.4.1:1
lxml,2,2,1,>=4.2.1:1|5.2.1:1
lz4-c,2,2,1,1.9.4:1|1.10.0:1
markdown-it-py,2,2,1,3.0.0:1|4.0.0:1
mashumaro,2,2,1,3.14:1|*:1
mdtraj,2,2,1,1.10.3:1|1.10.0:1
meeko,2,2,1,0.1.dev3:1|0.5.0:1
mistune,2,2,1,3.0.2:1|3.1.4:1
molvs,2,2,1,"0.1.1:1|>=0.1.1,<0.2:1"
mpi4py,2,2,1,3.1.4:1|>=4.0.2:1
nbclient,2,2,1,0.10.0:1|0.10.2:1
nbconvert,2,2,1,7.16.4:1|7.16.6:1
notebook,2,2,1,7.2.1:1|7.4.7:1
nspr,2,2,1,4.35:1|4.36:1
nss,2,2,1,3.89.1:1|3.113:1
pluggy,2,2,1,1.2.0:1|1.5.0:1
prometheus-client,2,2,1,0.20.0:1|0.23.1:1
propcache,2,2,1,0.4.1:1|0.3.0:1
pycairo,2,2,1,1.25.0=py38h1a1917b_1:1|1.25.1=py310hda9f760_0:1
pyqt,2,2,1,5.15.7:1|5.15.10:1
pyqt5-sip,2,2,1,12.11.0:1|12.13.0:1
pyrsistent,2,2,1,*:1|0.19.3:1
pytest-cov,2,2,1,7.1.0:1|4.1.0:1
python-dotenv,2,2,1,"1.0.1=pyhd8ed1ab_0:1|>=1.0,<2:1"
python-json-logger,2,2,1,2.0.7:1|4.0.0:1
qt-main,2,2,1,5.15.2:1|5.15.15:1
referencing,2,2,1,0.35.1:1|0.37.0:1
regex,2,2,1,2024.5.15:1|2025.11.3:1
reportlab,2,2,1,4.1.0=py38h01eb140_0:1|3.5.68=py310h94fcab3_1:1
rich,2,2,1,13.7.1:1|14.2.0:1
rpds-py,2,2,1,0.19.1:1|0.27.1:1
scikit-image,2,2,1,0.19.3:1|0.24.0:1
sip,2,2,1,6.6.2:1|6.7.12:1
snappy,2,2,1,1.2.1=ha2e4443_0:1|1.2.1:1
soupsieve,2,2,1,2.5:1|2.8:1
sphinx_copybutton,2,2,1,*:1|>=0.5:1
sqlalchemy,2,2,1,2.0.30=py38hfb59056_0:1|2.0.25=py310h2372a71_0:1
statsmodels,2,2,1,0.14.3=py310hf462985_1:1|0.14.2=py310h261611a_0:1
submitit,2,2,1,1.5.3:1|*:1
tinycss2,2,2,1,1.3.0:1|1.4.0:1
tmtools,2,2,1,0.2.0:1|*:1
tokenizers,2,2,1,0.19.1:1|0.21.4:1
torchdata,2,2,1,0.6.1=py310hdeae4e7_2:1|0.9.0:1
typeguard,2,2,1,4.3.0:1|2.13.3:1
typer,2,2,1,0.12.3:1|0.12.5:1
types-requests,2,2,1,*:1|==2.32.4.*:1
webcolors,2,2,1,24.6.0:1|24.11.1:1
websocket-client,2,2,1,1.8.0:1|1.9.0:1
xorg-libxfixes,2,2,1,5.0.3=h7f98852_1004:1|6.0.1:1
xxhash,2,2,1,"3.6.0:1|>=3,<4:1"
zeromq,2,2,1,4.3.5=h75354e8_4:1|4.3.5=ha4adb4c_5:1
CommonMark,1,1,0,>=0.9.1:1
OpenEye-toolkits,1,1,0,>=2024:1
RestrictedPython,1,1,0,*:1
addict,1,1,0,2.4.0:1
alabaster,1,1,0,0.7.13:1
alchemlyb,1,1,0,>=2.0.0:1
alsa-lib,1,1,0,1.2.14:1
altair,1,1,0,5.3.0:1
annotated-types,3,1,0,0.7.0:3
antlr4-python3-runtime,4,1,0,4.9.3:4
aom,1,1,0,3.9.1=hac33072_0:1
appdirs,3,1,0,1.4.4:3
apted,1,1,0,">=1.0.3,<2:1"
assertpy,1,1,0,1.1.0:1
attr,1,1,0,2.5.1:1
autocommand,1,1,0,2.2.2:1
autodocktools-py3,1,1,0,1.5.7.post1+12.ga62a5d9:1
aws-c-auth,1,1,0,0.7.7=h4faf3ed_1:1
aws-c-cal,1,1,0,0.6.9=h3b91eb8_1:1
aws-c-common,1,1,0,0.9.8=hd590300_0:1
aws-c-compression,1,1,0,0.2.17=hfd9eb17_6:1
aws-c-event-stream,1,1,0,0.3.2=h1fff966_7:1
aws-c-http,1,1,0,0.7.14=hc86c171_2:1
aws-c-io,1,1,0,0.13.36=hc23c90e_0:1
aws-c-mqtt,1,1,0,0.9.10=hba57965_1:1
aws-c-s3,1,1,0,0.4.1=hfadff92_0:1
aws-c-sdkutils,1,1,0,0.1.12=hfd9eb17_5:1
aws-checksums,1,1,0,0.1.17=hfd9eb17_5:1
aws-crt-cpp,1,1,0,0.24.7=h97e63c7_6:1
aws-sdk-cpp,1,1,0,1.11.182=h8beafcf_7:1
backcall,1,1,0,0.2.0=pyh9f0ad1d_0:1
backports.tarfile,1,1,0,1.2.0:1
biotraj,2,1,0,1.2.2:2
blas-devel,2,1,0,3.9.0=16_linux64_mkl:2
blessed,1,1,0,1.20.0:1
blinker,1,1,0,1.8.2:1
blis,1,1,0,0.7.11:1
blosc,1,1,0,1.21.6:1
boltzgen,1,1,0,*:1
boost,1,1,0,1.74.0=py38h2b96118_5:1
boost-cpp,1,1,0,1.74.0=h6cacc03_7:1
boto3,1,1,0,*:1
braceexpand,1,1,0,0.1.7:1
brotli-python,2,1,0,1.1.0=py310hc6cd4ac_1:2
brotlipy,1,1,0,0.7.0:1
cachetools,1,1,0,5.4.0:1
catalogue,1,1,0,2.0.10:1
cfgv,1,1,0,3.4.0:1
cftime,1,1,0,1.6.4.post1:1
chardet,1,1,0,5.2.0=py38h578d9bd_1:1
chart-studio,1,1,0,1.1.0:1
chembl_structure_pipeline,1,1,0,1.2.2:1
chemprop,1,1,0,">=1.5.2,<1.6,>=2,<3:1"
compact-json,1,1,0,*:1
conda-build,1,1,0,*:1
confection,1,1,0,0.1.5:1
contextlib2,1,1,0,21.6.0:1
contexttimer,1,1,0,0.3.3:1
coverage,1,1,0,7.14.3:1
crcmod,2,1,0,1.7:2
cryptography,1,1,0,39.0.1:1
cuda-nvcc,1,1,0,12.1.66:1
cuda-opencl,1,1,0,12.3.101=0:1
cuda-python,1,1,0,11.8:1
cuda-toolkit,1,1,0,*:1
cuequivariance,1,1,0,0.8.0:1
cuequivariance_ops_cu12,2,1,0,>=0.5.0:2
cxx-compiler,1,1,0,*:1
cymem,1,1,0,2.0.8:1
cyrus-sasl,1,1,0,2.1.28:1
cytoolz,1,1,0,0.12.3:1
d4rl,1,1,0,1.1:1
dav1d,1,1,0,1.2.1=hd590300_0:1
dbus,2,1,0,1.13.18:2
decord,1,1,0,0.6.0:1
deepdiff,1,1,0,6.3.0:1
deeprank-gnn-esm,1,1,0,>=1.1.0:1
defusedxml,2,1,0,0.7.1:2
deprecated,2,1,0,1.2.18:2
descriptastorus,1,1,0,">=2.6.1,<3.0:1"
dftd4,1,1,0,3.7.0=hd37a5e2_4:1
dill,1,1,0,0.4.0:1
distlib,1,1,0,0.3.8:1
dm-control,1,1,0,1.0.18:1
dm-env,1,1,0,1.6:1
dm-haiku,1,1,0,0.0.12:1
dna_features_viewer,1,1,0,*:1
docker,1,1,0,5.0.0:1
docker-pycreds,4,1,0,0.4.0:4
docutils,1,1,0,0.20.1:1
edit_distance,1,1,0,*:1
etils,1,1,0,1.7.0:1
fair-esm,4,1,0,2.0.0:4
farama-notifications,1,1,0,0.0.4:1
fastapi,1,1,0,0.138.2:1
fasteners,1,1,0,0.19:1
fastparquet,1,1,0,2024.5.0:1
ffmpeg,2,1,0,4.3=hf484d3e_0:2
fire,1,1,0,0.6.0:1
fonts-anaconda,1,1,0,1:1
fonts-conda-forge,3,1,0,1=0:3
fqdn,2,1,0,1.5.1:2
freetype-py,1,1,0,2.3.0=pyhd8ed1ab_0:1
fribidi,1,1,0,1.0.10=h36c2ea0_0:1
ftfy,1,1,0,6.2.0:1
furo,1,1,0,>=2024.1.29:1
gdock,1,1,0,>=0.5.0:1
giflib,1,1,0,5.2.1:1
glew,1,1,0,2.1.0:1
glfw,1,1,0,2.7.0:1
glib-tools,1,1,0,2.84.0:1
glm,1,1,0,1.0.1:1
gnutls,2,1,0,3.6.13=h85f3911_1:2
gputil,3,1,0,1.4.0:3
gradio,1,1,0,==3.50.*:1
graphviz,1,1,0,0.21:1
grpcio,1,1,0,1.72.1:1
gym,1,1,0,0.24.1:1
gym-notices,1,1,0,0.0.8:1
gymnasium,1,1,0,0.29.1:1
hatch-cython,1,1,0,0.5.1:1
hdf4,1,1,0,4.2.15:1
hf-xet,1,1,0,1.2.0:1
hjson,3,1,0,3.1.0:3
hydra-colorlog,1,1,0,1.2.0:1
hydra-submitit-launcher,1,1,0,1.2.0:1
hydride,1,1,0,*:1
hypothesis,1,1,0,6.155.7:1
identify,1,1,0,2.6.0:1
imagesize,1,1,0,1.4.1:1
inflect,1,1,0,7.3.1:1
iniconfig,2,1,0,2.0.0:2
intel-openmp,1,1,0,2023.1.0:1
iopath,1,1,0,0.1.10:1
isoduration,2,1,0,20.11.0:2
isort,1,1,0,>=5.13.2:1
jaraco.collections,1,1,0,5.1.0:1
jaraco.context,1,1,0,5.3.0:1
jaraco.functools,1,1,0,4.0.1:1
jaraco.text,1,1,0,3.12.1:1
jax,1,1,0,0.4.26:1
jonquil,1,1,0,0.3.0=h3b12eaf_1:1
jsonpickle,1,1,0,>=2.1.0:1
jsonpointer,2,1,0,3.0.0:2
jupyter-console,2,1,0,6.6.3:2
jupyter-server-terminals,2,1,0,0.5.3:2
jupyterlab-pygments,2,1,0,0.3.0:2
jupyterlab-server,2,1,0,2.27.3:2
kaggle,1,1,0,1.6.17:1
kaleido,1,1,0,1.3.0:1
keyutils,3,1,0,1.6.1=h166bdaf_0:3
labmaze,1,1,0,1.0.6:1
langcodes,1,1,0,3.4.0:1
language-data,1,1,0,1.2.0:1
lark,1,1,0,1.3.0:1
lazy-loader,1,1,0,0.4:1
libabseil,1,1,0,20240116.2=cxx17_he02047a_1:1
libaec,1,1,0,1.1.3:1
libass,1,1,0,0.17.1=h8fe9dca_1:1
libboost,1,1,0,1.82.0=h6fcfa73_6:1
libboost-python,1,1,0,1.82.0=py310hcb52e73_6:1
libcap,1,1,0,2.75:1
libclang,1,1,0,10.0.1:1
libclang-cpp20.1,1,1,0,20.1.7:1
libclang13,1,1,0,20.1.7:1
libcups,1,1,0,2.3.3:1
libegl,1,1,0,1.7.0:1
libevent,2,1,0,2.1.12:2
libflac,1,1,0,1.4.3:1
libfreetype,1,1,0,2.13.3:1
libfreetype6,1,1,0,2.13.3:1
libgcrypt-lib,1,1,0,1.11.1:1
libgl,1,1,0,1.7.0:1
libglu,1,1,0,9.0.3:1
libglvnd,1,1,0,1.7.0:1
libglx,1,1,0,1.7.0:1
libgpg-error,1,1,0,1.55:1
libidn2,1,1,0,2.3.7=hd590300_0:1
liblapacke,2,1,0,3.9.0=16_linux64_mkl:2
libllvm10,1,1,0,10.0.1:1
libllvm20,1,1,0,20.1.7:1
liblzma,1,1,0,5.8.1:1
liblzma-devel,1,1,0,5.8.1:1
libnetcdf,1,1,0,4.9.2:1
libntlm,1,1,0,1.8:1
libnvjitlink,1,1,0,12.1.105=0:1
libogg,1,1,0,1.3.5:1
libopenvino,1,1,0,2024.2.0=h2da1b83_1:1
libopenvino-auto-batch-plugin,1,1,0,2024.2.0=hb045406_1:1
libopenvino-auto-plugin,1,1,0,2024.2.0=hb045406_1:1
libopenvino-hetero-plugin,1,1,0,2024.2.0=h5c03a75_1:1
libopenvino-intel-cpu-plugin,1,1,0,2024.2.0=h2da1b83_1:1
libopenvino-intel-gpu-plugin,1,1,0,2024.2.0=h2da1b83_1:1
libopenvino-intel-npu-plugin,1,1,0,2024.2.0=he02047a_1:1
libopenvino-ir-frontend,1,1,0,2024.2.0=h5c03a75_1:1
libopenvino-onnx-frontend,1,1,0,2024.2.0=h07e8aee_1:1
libopenvino-paddle-frontend,1,1,0,2024.2.0=h07e8aee_1:1
libopenvino-pytorch-frontend,1,1,0,2024.2.0=he02047a_1:1
libopenvino-tensorflow-frontend,1,1,0,2024.2.0=h39126c6_1:1
libopenvino-tensorflow-lite-frontend,1,1,0,2024.2.0=he02047a_1:1
libprotobuf,1,1,0,4.25.3=h08a7969_0:1
libsndfile,1,1,0,1.2.2:1
libsystemd0,1,1,0,257.6:1
libtasn1,1,1,0,4.19.0=h166bdaf_0:1
libunistring,1,1,0,0.9.10=h7f98852_0:1
libva,1,1,0,2.21.0=h4ab18f5_2:1
libvorbis,1,1,0,1.3.7:1
libvpx,1,1,0,1.14.1=hac33072_0:1
libwebp,1,1,0,1.2.4:1
libxslt,1,1,0,1.1.35:1
libzip,1,1,0,1.11.2:1
llvm-openmp,2,1,0,15.0.7=h0cdce71_0:2
logomaker,2,1,0,*:2
looseversion,1,1,0,1.3.0=pyhd8ed1ab_0:1
marimo,1,1,0,>=0.17.6:1
marisa-trie,1,1,0,1.2.0:1
markdown,1,1,0,3.8:1
markov-clustering,1,1,0,0.0.6.dev0:1
mctc-lib,1,1,0,0.4.2=h3b12eaf_0:1
mdanalysis,1,1,0,*:1
mdurl,2,1,0,0.1.2:2
mjrl,1,1,0,1.0.0:1
mkl-devel,2,1,0,2022.1.0=ha770c72_916:2
mkl-include,2,1,0,2022.1.0=h84fe81f_915:2
mkl-service,1,1,0,2.4.0:1
mkl_fft,1,1,0,1.3.6:1
mkl_random,1,1,0,1.2.2:1
mmpdb,1,1,0,">=2.1,<3:1"
mmtf-python,1,1,0,1.1.3=pyhd8ed1ab_0:1
more-itertools,1,1,0,10.3.0:1
mpg123,1,1,0,1.32.9:1
mpi,1,1,0,1.0:1
mpich,1,1,0,3.3.2:1
msgpack,2,1,0,1.1.0:2
msgpack-numpy,1,1,0,*:1
msgpack-python,1,1,0,1.0.8=py310h25c7140_0:1
mujoco,1,1,0,3.1.4:1
mujoco-py,1,1,0,2.1.2.14:1
multicharge,1,1,0,0.3.0=hd37a5e2_2:1
murmurhash,1,1,0,1.0.10:1
mysql-common,1,1,0,9.0.1:1
mysql-libs,1,1,0,9.0.1:1
myst-nb,1,1,0,*:1
nbformat,2,1,0,5.10.4:2
netcdf4,1,1,0,1.7.2:1
nettle,2,1,0,3.6=he412f7d_0:2
nodeenv,1,1,0,1.9.1:1
notebook-shim,2,1,0,0.2.4:2
numpy-base,1,1,0,1.25.0:1
numpydoc,1,1,0,1.7.0:1
nvidia-cublas-cu12,3,1,0,12.1.3.1:3
nvidia-cuda-cupti-cu12,3,1,0,12.1.105:3
nvidia-cuda-nvrtc-cu12,3,1,0,12.1.105:3
nvidia-cuda-runtime-cu12,3,1,0,12.1.105:3
nvidia-cudnn-cu12,3,1,0,8.9.2.26:3
nvidia-cufft-cu12,3,1,0,11.0.2.54:3
nvidia-curand-cu12,3,1,0,10.3.2.106:3
nvidia-cusolver-cu12,3,1,0,11.4.5.107:3
nvidia-cusparse-cu12,3,1,0,12.1.0.106:3
nvidia-nvtx-cu12,3,1,0,12.1.105:3
nvitop,1,1,0,1.4.2:1
ocl-icd,2,1,0,2.3.2=hd590300_1:2
ocl-icd-system,2,1,0,1.0.0=1:2
oddt,1,1,0,0.7:1
olefile,2,1,0,0.47=pyhd8ed1ab_0:2
openbabel-wheel,1,1,0,*:1
opencv-python-headless,1,1,0,4.5.5.64:1
opendatasets,1,1,0,0.1.22:1
openh264,2,1,0,2.1.1=h780b84a_0:2
openldap,1,1,0,2.6.10:1
opt-einsum-fx,1,1,0,0.1.4:1
optree,2,1,0,0.14.1:2
overrides,2,1,0,7.7.0:2
p11-kit,1,1,0,0.24.1=hc5aa10d_0:1
p_tqdm,1,1,0,*:1
pandocfilters,2,1,0,1.5.1:2
parallelbar,1,1,0,*:1
patsy,2,1,0,0.5.6=pyhd8ed1ab_0:2
pcre,1,1,0,8.45:1
pdb-tools,1,1,0,>=2.5.0:1
pdb2sql,1,1,0,0.5.3:1
pdbecif,1,1,0,*:1
peptidebuilder,1,1,0,1.1.0:1
pickleshare,2,1,0,0.7.5=py_1003:2
ply,2,1,0,3.11:2
pmapper,1,1,0,1.1.1:1
pmw,1,1,0,2.0.1:1
polars,1,1,0,<2:1
pooch,1,1,0,1.4.0:1
portalocker,1,1,0,2.10.1:1
posebusters,1,1,0,0.4.4:1
pptree,1,1,0,3.1:1
pre-commit,2,1,0,3.7.1:2
preshed,1,1,0,3.0.9:1
prodigy-lig,1,1,0,1.1.4:1
prodigy-prot,1,1,0,2.3.0:1
protenix,1,1,0,0.5.5:1
pubchempy,1,1,0,1.0.4:1
pugixml,1,1,0,1.14=h59595ed_0:1
pulseaudio-client,1,1,0,17.0:1
pumas,1,1,0,>=1.3.0:1
py-cpuinfo,3,1,0,9.0.0:3
pyarrow,3,1,0,17.0.0:3
pybind11,1,1,0,2.11.1:1
pybullet,1,1,0,3.2.6:1
pycocoevalcap,1,1,0,1.2:1
pycocotools,1,1,0,2.0.8:1
pydeck,1,1,0,0.9.1:1
pydssp,3,1,0,*:3
pygtrie,1,1,0,*:1
pykeops,1,1,0,*:1
pylibcugraphops-cu12,1,1,0,>=24.6.0a24:1
pymbar,1,1,0,>=4.0.1:1
pymol-open-source,1,1,0,3.1.0:1
pynvml,3,1,0,11.0.0:3
pyopengl,1,1,0,3.1.7:1
pyopenssl,1,1,0,23.0.0:1
pyrootutils,1,1,0,1.0.4=pyhd8ed1ab_0:1
pyrosetta,1,1,0,*:1
pystow,1,1,0,0.5.5:1
pytest-benchmark,1,1,0,*:1
pytest-dotenv,1,1,0,0.5.2:1
pytest-random-order,1,1,0,1.2.0:1
python-devtools,1,1,0,*:1
python-louvain,1,1,0,0.15:1
python-magic,1,1,0,0.4.27:1
python-slugify,1,1,0,8.0.4:1
pytorch-sparse,1,1,0,0.6.17:1
pytorch-spline-conv,1,1,0,1.2.2:1
qhull,1,1,0,2020.2=h434a139_5:1
qt-webengine,1,1,0,5.15.9:1
qtconsole,1,1,0,5.5.2:1
qtpy,1,1,0,2.4.1:1
qtwebkit,1,1,0,5.212:1
rdkit-to-params,1,1,0,*:1
redis,2,1,0,*:2
reinvent,1,1,0,*:1
retrying,1,1,0,1.3.4:1
rfc3339-validator,2,1,0,0.1.4:2
rfc3986-validator,2,1,0,0.1.1:2
rfc3987-syntax,1,1,0,1.1.0:1
rlpycairo,1,1,0,0.2.0=pyhd8ed1ab_0:1
roman,1,1,0,*:1
rustworkx,1,1,0,>=0.17.1:1
s2n,1,1,0,1.3.56=h06160fa_0:1
scaffoldgraph,1,1,0,1.1.2:1
scikit-learn-extra,2,1,0,0.3.0:2
se3-transformer,1,1,0,*:1
seaborn-base,2,1,0,0.13.2=pyhd8ed1ab_2:2
send2trash,2,1,0,1.8.3:2
sentencepiece,1,1,0,0.2.0:1
shellingham,1,1,0,1.5.4:1
simple-dftd3,1,1,0,1.2.1=h3b12eaf_1:1
smart-open,1,1,0,7.0.4:1
sniffio,2,1,0,1.3.1:2
snowballstemmer,1,1,0,2.2.0:1
spacy,1,1,0,3.7.5:1
spacy-legacy,1,1,0,3.0.12:1
spacy-loggers,1,1,0,1.0.5:1
sphinx-argparse,1,1,0,>=0.4.0:1
sphinx-autobuild,1,1,0,2021.3.14:1
sphinx-inline-tabs,1,1,0,*:1
sphinx-sitemap,1,1,0,>=2.6:1
sphinx_book_theme,1,1,0,*:1
sphinx_design,1,1,0,*:1
sphinx_rtd_theme,1,1,0,>=3.0.1:1
sphinxcontrib-applehelp,1,1,0,1.0.4:1
sphinxcontrib-devhelp,1,1,0,1.0.2:1
sphinxcontrib-htmlhelp,1,1,0,2.0.1:1
sphinxcontrib-jsmath,1,1,0,1.0.1:1
sphinxcontrib-katex,1,1,0,*:1
sphinxcontrib-mermaid,1,1,0,*:1
sphinxcontrib-qthelp,1,1,0,1.0.3:1
sphinxcontrib-serializinghtml,1,1,0,1.1.5:1
srsly,1,1,0,2.4.8:1
stable-baselines3,1,1,0,2.3.0:1
streamlit,1,1,0,1.37.0:1
svgwrite,1,1,0,1.4.3:1
svt-av1,1,1,0,2.1.2=hac33072_0:1
tabulate,1,1,0,"==0.9.0,>=0.9:1"
tblite,1,1,0,0.4.0=hd37a5e2_2:1
tensorboard-data-server,1,1,0,0.7.2:1
tensorflow-cpu,1,1,0,2.16.1:1
termcolor,2,1,0,2.4.0:2
terminado,2,1,0,0.18.1:2
text-unidecode,1,1,0,1.3:1
thinc,1,1,0,8.2.5:1
tifffile,1,1,0,2024.7.24:1
timm,1,1,0,0.4.12:1
tinyprot,1,1,0,*:1
toml-f,1,1,0,0.4.2=h3b12eaf_2:1
toolz,1,1,0,0.12.1:1
torch-ema,1,1,0,0.3:1
torch-utils,1,1,0,*:1
torcheval,1,1,0,0.0.7:1
torchtyping,1,1,0,0.1.5:1
torchviz,1,1,0,0.0.3:1
tos,2,1,0,2.8.1:2
tree,1,1,0,0.2.4:1
types-python-dateutil,1,1,0,2.9.0.20240316:1
uri-template,2,1,0,1.3.0:2
useful-rdkit-utils,1,1,0,0.3.12:1
uvicorn,1,1,0,<0.30:1
virtualenv,1,1,0,20.26.3:1
wasabi,1,1,0,1.1.3:1
watchdog,1,1,0,4.0.1:1
watchfiles,1,1,0,<0.20:1
wayland,1,1,0,1.23.0=h5291e77_0:1
wayland-protocols,1,1,0,1.36=hd8ed1ab_0:1
weasel,1,1,0,0.4.1:1
webdataset,1,1,0,0.2.86:1
webencodings,2,1,0,0.5.1:2
werkzeug,1,1,0,3.1.3:1
x264,1,1,0,1!164.3095=h166bdaf_2:1
x265,1,1,0,3.5=h924138e_3:1
xcb-util,1,1,0,0.4.1:1
