package,n_services,n_versions,conflicting_pairs,versions
typing-extensions,8,7,27,"4.12.2:2|==4.11.0=hd8ed1ab_0,==4.11.0=pyha770c72_0:1|4.6.3:1|==4.9.0=hd8ed1ab_0,==4.9.0=pyha770c72_0:1|==4.12.2=hd8ed1ab_0,==4.12.2=pyha770c72_0:1|*:1|4.10.0:1"
pytorch-cuda,8,6,25,"11.7:3|11.8:1|12.1=ha16c6d3_5:1|11.7=h778d358_5:1|==12.1,==12.4:1|12.1:1"
wheel,8,5,24,0.43.0=pyhd8ed1ab_1:3|0.45.1:2|0.38.4:1|0.42.0=pyhd8ed1ab_0:1|0.37.1=pyhd8ed1ab_0:1
libgcc-ng,7,7,21,13.2.0=h77fa898_7:1|11.2.0:1|14.1.0=h69a702a_1:1|14.1.0=h77fa898_0:1|15.1.0:1|12.1.0=h8d9b700_16:1|13.2.0=h807b86a_5:1
torchmetrics,7,7,21,0.11.0:1|1.2.1=pyhd8ed1ab_0:1|1.4.0.post0=pyhd8ed1ab_0:1|1.8.2:1|1.6.2:1|*:1|1.3.2:1
contourpy,7,6,20,1.3.1:2|1.1.1=py38h7f3f72f_1:1|1.0.5:1|1.2.0=py310hd41b1e2_0:1|1.2.1=py310hd41b1e2_0:1|1.2.0:1
ipykernel,7,6,20,6.29.5:2|*:1|6.29.3=pyhd33586a_0:1|6.29.5=pyh3099207_0:1|7.0.1:1|6.29.4:1
ld_impl_linux-64,7,6,20,2.40=h41732ed_0:2|2.40=h55db66e_0:1|2.38:1|2.40=hf3520f5_7:1|2.40:1|2.36.1=hea4e1c9_2:1
libgfortran5,7,6,20,13.2.0=hca663fb_7:2|11.2.0:1|14.1.0=hc5f4f2c_1:1|14.1.0=hc5f4f2c_0:1|15.1.0:1|12.1.0=hdcd56e2_16:1
libstdcxx-ng,7,6,20,13.2.0=hc0a3c3a_7:2|11.2.0:1|13.2.0=h7e041cc_5:1|14.1.0=hc0a3c3a_0:1|15.1.0:1|12.1.0=ha89aaad_16:1
packaging,7,6,20,24.2:2|24.0=pyhd8ed1ab_0:1|23.0:1|23.2=pyhd8ed1ab_0:1|24.1=pyhd8ed1ab_0:1|24.0:1
sympy,7,6,20,1.13.1:2|1.11.1:1|1.12=pypyh9d50eac_103:1|1.13.0=pypyh2585a3b_103:1|1.13.2:1|1.12:1
torchvision,7,6,20,*:2|0.14.1:1|0.17.0=py310_cu121:1|0.18.1:1|0.18.1+cu121:1|0.17.2:1
hydra-core,9,3,20,1.3.2:6|*:2|1.3.1:1
executing,7,5,19,2.0.1:2|2.2.0:2|2.0.1=pyhd8ed1ab_0:1|2.1.0=pyhd8ed1ab_0:1|2.0.0:1
fonttools,7,5,19,4.50.0:2|4.56.0:2|4.25.0:1|4.47.2=py310h2372a71_0:1|4.53.1=py310h5b4e0ec_0:1
idna,7,5,19,3.6:2|3.10:2|3.4:1|3.6=pyhd8ed1ab_0:1|3.7=pyhd8ed1ab_0:1
kiwisolver,7,5,19,1.4.5=py310hd41b1e2_1:2|1.4.8:2|1.4.5=py38h7f3f72f_1:1|1.4.4:1|1.4.5:1
ml-collections,7,5,19,0.1.1:2|1.0.0:2|0.1.0:1|*:1|>=1.1.0:1
ncurses,7,5,19,6.5=h59595ed_0:2|6.4:2|6.4=h59595ed_2:1|6.3=h27087fc_1:1|6.4.20240210=h59595ed_0:1
pyparsing,7,5,19,3.1.2=pyhd8ed1ab_0:2|3.2.1:2|3.0.9:1|3.1.1=pyhd8ed1ab_0:1|3.1.2:1
tzdata,7,5,19,2024a=h0c530f3_0:2|2025.1:2|2023.3:1|2022a=h191b570_0:1|2024.1:1
urllib3,7,5,19,2.2.1:2|2.3.0:2|1.26.16:1|2.2.0=pyhd8ed1ab_0:1|2.2.2=pyhd8ed1ab_1:1
lightning,7,5,18,*:3|2.5.1.post0:1|2.5.0.post0:1|2.4.0:1|2.2.1:1
python-dateutil,7,5,18,"2.9.0.post0:3|==2.9.0.post0,>=2.8:1|2.8.2:1|2.8.2=pyhd8ed1ab_0:1|2.9.0=pyhd8ed1ab_0:1"
torch-cluster,7,5,18,"*:3|1.6.0+pt113cu117:1|==1.6.3,==1.6.3+pt27cu126:1|1.6.3+pt23cu121:1|1.6.3+pt22cu121:1"
torch-scatter,7,5,18,"*:3|2.1.0+pt113cu117:1|==2.1.2,==2.1.2+pt27cu126:1|2.1.2+pt23cu121:1|2.1.2+pt22cu121:1"
decorator,7,4,18,5.1.1=pyhd8ed1ab_0:2|5.1.1:2|5.2.1:2|5.1.0:1
ipywidgets,7,4,17,*:3|8.1.5:2|8.1.3:1|8.1.2:1
pytz,7,4,17,2024.1=pyhd8ed1ab_0:3|2025.1:2|2023.3:1|2024.1:1
seaborn,7,4,17,0.13.2:3|0.13.2=hd8ed1ab_2:2|*:1|0.12.1:1
six,7,3,16,1.16.0=pyh6c4a22f_0:3|1.16.0:2|1.17.0:2
debugpy,6,6,15,1.8.1=py38h17151c0_0:1|1.8.6=py310hf71b8c6_0:1|1.8.2=py310h76e45a6_0:1|1.8.17:1|1.8.5:1|1.8.1:1
libgomp,6,6,15,13.2.0=h77fa898_7:1|11.2.0:1|14.1.0=h77fa898_0:1|15.1.0:1|12.1.0=h8d9b700_16:1|13.2.0=h807b86a_5:1
plotly,6,6,15,5.15.0:1|5.9.0:1|6.8.0:1|5.23.0:1|*:1|5.16.1:1
tornado,6,6,15,6.4=py38h01eb140_0:1|6.2:1|6.4.1=py310ha75aee5_1:1|6.4.1:1|6.5.2:1|6.4:1
libuuid,7,4,15,2.38.1=h0b41bf4_0:4|1.41.5:1|2.38.1:1|2.32.1=h7f98852_1000:1
tk,7,4,15,8.6.13=noxft_h4845f30_101:4|8.6.12:1|8.6.13:1|8.6.12=h27826a3_0:1
xz,7,4,15,5.2.6=h166bdaf_0:4|5.4.2:1|5.8.1:1|5.2.5=h516909a_1:1
cycler,7,3,15,0.12.1=pyhd8ed1ab_0:3|0.12.1:3|0.11.0:1
filelock,6,5,14,3.13.1:2|3.9.0:1|3.13.1=pyhd8ed1ab_0:1|3.15.4=pyhd8ed1ab_0:1|3.13.3:1
jinja2,6,5,14,3.1.4:2|3.1.2:1|3.1.3=pyhd8ed1ab_0:1|3.1.4=pyhd8ed1ab_0:1|3.1.3:1
joblib,6,5,14,"1.4.2:2|==1.3.2,>=1.3:1|1.2.0:1|1.4.2=pyhd8ed1ab_0:1|1.3.2:1"
libgfortran-ng,6,5,14,13.2.0=h69a702a_7:2|11.2.0:1|14.1.0=h69a702a_1:1|14.1.0=h69a702a_0:1|12.1.0=h69a702a_16:1
platformdirs,6,5,14,4.3.6:2|4.2.1=pyhd8ed1ab_0:1|4.3.6=pyhd8ed1ab_0:1|4.2.2:1|4.2.0:1
prompt-toolkit,6,5,14,"3.0.50:2|==3.0.42=pyha770c72_0,==3.0.42=hd8ed1ab_0:1|3.0.48=pyha770c72_0:1|3.0.47:1|3.0.43:1"
torch-sparse,6,5,14,"*:2|0.6.16+pt113cu117:1|==0.6.18,==0.6.18+pt27cu126:1|0.6.18+pt23cu121:1|0.6.18+pt22cu121:1"
torch-spline-conv,6,5,14,"*:2|1.2.1+pt113cu117:1|==1.2.2,==1.2.2+pt27cu126:1|1.2.2+pt23cu121:1|1.2.2+pt22cu121:1"
zlib,6,5,14,1.2.13=hd590300_5:2|1.2.13:1|1.2.13=h4ab18f5_6:1|1.3.1:1|1.2.11=h166bdaf_1014:1
zstd,6,5,14,1.5.6=ha6fb4c9_0:2|1.5.5:1|*:1|1.5.5=hfc55251_0:1|1.5.7:1
click,7,3,14,8.1.7:4|8.1.8:2|>=8.0.0:1
dm-tree,7,3,14,0.1.8:4|0.1.6:2|>=0.1.10:1
readline,7,3,14,8.2=h8228510_1:4|8.2:2|8.1=h46c0cb4_0:1
biotite,6,4,13,*:2|1.0.1:2|>=1.0.0:1|>=0.38.0:1
charset-normalizer,6,4,13,3.3.2=pyhd8ed1ab_0:2|3.4.1:2|2.0.4:1|3.3.2:1
pygments,6,4,13,2.18.0=pyhd8ed1ab_0:2|2.19.1:2|2.18.0:1|2.17.2:1
threadpoolctl,6,4,13,3.4.0:2|3.5.0:2|2.2.0:1|3.5.0=pyhc1e730c_0:1
brotli,6,4,12,1.1.0=hd590300_1:3|1.0.9:1|*:1|1.2.0:1
bzip2,6,4,12,1.0.8=hd590300_5:3|1.0.8=h4bc722e_7:1|1.0.8:1|1.0.8=h7f98852_4:1
exceptiongroup,6,4,12,1.2.2:3|1.1.1:1|1.2.2=pyhd8ed1ab_0:1|1.2.0:1
libzlib,6,4,12,1.2.13=hd590300_5:3|1.2.13=h4ab18f5_6:1|1.3.1:1|1.2.11=h166bdaf_1014:1
pure_eval,6,4,12,0.2.3:3|0.2.2=pyhd8ed1ab_0:1|0.2.3=pyhd8ed1ab_0:1|0.2.2:1
python_abi,6,4,12,3.10=4_cp310:3|3.8=4_cp38:1|3.10:1|3.10=2_cp310:1
asttokens,6,3,12,2.4.1=pyhd8ed1ab_0:2|2.4.1:2|3.0.0:2
jedi,6,3,12,0.19.1=pyhd8ed1ab_0:2|0.19.1:2|0.19.2:2
markupsafe,6,3,11,2.1.5:3|2.1.5=py310h2372a71_0:2|2.1.1:1
matplotlib-inline,6,3,11,0.1.7:3|0.1.7=pyhd8ed1ab_0:2|0.1.6:1
mpmath,6,3,11,1.3.0:3|1.3.0=pyhd8ed1ab_0:2|1.2.1:1
parso,6,3,11,0.8.4:3|0.8.4=pyhd8ed1ab_0:2|0.8.3:1
traitlets,6,3,11,5.14.3:3|5.14.3=pyhd8ed1ab_0:2|5.14.2:1
attrs,5,5,10,*:1|23.2.0=pyh71513ae_0:1|25.4.0:1|25.1.0:1|23.2.0:1
jupyter_client,5,5,10,8.6.1=pyhd8ed1ab_0:1|8.6.3=pyhd8ed1ab_0:1|8.6.2:1|8.6.3:1|8.6.1:1
libsqlite,5,5,10,3.45.3=h2797004_0:1|3.44.2=h2797004_0:1|3.46.0=hde9e2c9_0:1|3.50.1:1|3.45.2=h2797004_0:1
lightning-utilities,5,5,10,0.10.1=pyhd8ed1ab_0:1|0.11.5=pyhd8ed1ab_0:1|0.15.2:1|0.14.0:1|0.11.2:1
prody,5,5,10,2.2.0:1|2.4.1:1|*:1|>=2.0.1:1|>=2.6.1:1
