stage,count
rfdiffusion_backbones,1000
mpnn_sequences,8000
rf2_scored,8000
pae_pass,1235
passed_filter,1200
pae_pass_fraction,0.1544
in_silico_pass_fraction,0.15
backbone_pass,430
backbone_pass_fraction,0.43
